Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Churn_Probability,Churn_Prediction,Risk_Level,Recommendations
0,57,1,1,2.57,0,213.0,115,78.7,9.56,9.5,0.018445314858671364,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,54,1,0,0.0,3,134.3,73,37.0,7.78,14.7,0.034691004678921424,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,20,1,0,0.32,0,190.0,109,58.2,12.91,6.3,0.014198145164652995,0,low,No action needed
0,49,1,0,0.21,1,119.3,117,41.1,10.76,11.1,0.018427219421673992,0,low,No action needed
0,142,1,0,0.0,2,84.8,95,27.0,6.84,14.2,0.026599400567986375,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,75,1,0,0.0,1,226.1,105,56.0,10.08,10.3,0.04936730487639167,0,low,No action needed
0,172,1,0,0.0,3,212.0,121,39.0,1.56,12.6,0.011404606177344713,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
1,12,1,0,0.0,1,249.6,118,64.0,12.62,11.8,0.8872862955095454,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach
0,57,1,1,2.24,0,176.8,94,69.4,9.75,8.3,0.01584028182472229,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,72,1,1,3.97,3,220.0,80,95.7,10.87,14.7,0.048130763464150544,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,36,1,1,3.92,0,146.3,128,78.2,8.13,14.5,0.016505068928997273,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
0,78,1,0,0.0,1,130.8,64,42.0,11.19,10.0,0.018802550923642816,0,low,No action needed
0,136,0,1,2.84,3,203.9,106,79.4,9.38,10.5,0.2243281341734588,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,149,1,0,0.0,1,140.4,94,47.0,13.59,11.1,0.016347851541837398,0,low,No action needed
0,98,1,0,0.3,3,126.3,102,39.0,8.34,9.4,0.014784958582874375,0,low,No action needed
1,135,0,1,3.94,0,173.1,85,86.4,10.2,14.6,0.9674230769230769,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities
0,34,1,0,0.0,2,124.8,82,46.0,14.11,10.0,0.012996008230171082,0,low,No action needed
0,160,1,0,0.38,3,85.8,77,32.8,8.27,9.2,0.045274267993581675,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,64,1,0,0.24,1,154.0,67,48.4,11.29,3.5,0.014988646342472031,0,low,No action needed
0,59,1,1,2.3,2,120.9,97,62.0,10.65,8.5,0.035658614542117995,0,low,No action needed
0,65,1,0,0.0,3,211.3,120,50.0,8.13,13.2,0.00738708588743547,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,142,1,0,0.35,2,187.0,133,47.5,6.73,7.4,0.020444270940797912,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
1,119,1,0,0.0,5,159.1,114,47.0,11.57,8.8,0.6432530395180853,1,high,No action needed
0,97,1,1,2.97,1,133.2,135,71.7,10.86,11.0,0.02173195573321502,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,52,1,0,0.32,3,191.9,108,59.2,13.49,7.8,0.022175788456023745,0,low,No action needed
0,60,1,0,0.0,1,220.6,57,56.0,10.56,6.8,0.054610090857743446,0,low,No action needed
0,10,1,0,0.0,2,186.1,112,48.0,9.51,11.4,0.011342195640244381,0,low,No action needed
0,96,1,0,0.21,2,160.2,117,52.1,13.38,9.3,0.021624042857800556,0,low,No action needed
1,87,1,0,0.0,5,151.0,83,45.0,10.99,9.7,0.8260056461505676,1,critical,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach
0,81,1,0,0.11,1,175.5,67,53.1,12.47,10.2,0.015975461840130184,0,low,No action needed
0,141,1,0,0.0,1,126.9,98,37.0,9.0,8.0,0.04371272487597629,0,low,No action needed
1,121,1,1,1.57,3,198.4,129,56.7,3.77,5.8,0.10488486377535881,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,68,1,0,0.0,3,148.8,70,47.0,12.33,12.1,0.017074399693994942,0,low,No action needed
0,125,1,0,0.0,1,229.3,103,55.0,8.87,12.0,0.026387028856951603,0,low,No action needed
0,174,1,0,0.0,1,192.1,97,48.0,8.5,11.4,0.010410140849953921,0,low,No action needed
0,116,1,1,3.13,2,268.6,83,92.3,8.91,11.6,0.021055649584172057,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,74,1,1,3.94,2,193.7,91,93.4,12.31,14.6,0.018917591403464107,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,149,1,1,3.4,3,180.7,92,81.0,9.39,12.6,0.012416170771572357,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,38,1,0,0.0,2,131.2,98,37.0,8.15,8.2,0.01365965149005692,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,40,1,1,1.67,2,148.1,74,56.7,8.48,6.2,0.017743119316300154,0,low,No action needed
0,43,0,0,0.0,0,251.5,105,61.0,10.64,9.3,0.2729239269491155,0,medium,No action needed
0,113,0,0,0.0,0,125.2,93,39.0,10.32,8.3,0.1216496786830658,0,low,No action needed
0,126,1,0,0.0,1,211.6,70,55.0,10.85,7.8,0.012721424854321827,0,low,No action needed
1,150,1,0,0.0,4,178.9,101,45.0,8.46,13.8,0.6290989691672899,1,high,No action needed
0,138,1,0,0.0,3,241.8,93,56.0,8.53,11.8,0.024319770180961712,0,low,No action needed
0,162,1,1,3.27,0,224.9,97,87.7,9.41,12.1,0.042258811323784146,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,147,1,0,0.0,3,248.6,83,55.0,7.45,8.0,0.034250524633691805,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,90,1,0,0.0,1,203.4,146,54.0,11.34,7.3,0.06790084969026614,0,low,No action needed
0,85,1,0,0.0,0,235.8,109,54.0,7.86,12.0,0.03495010230249025,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,50,1,0,0.0,1,157.1,90,46.0,11.17,6.1,0.010352016572112455,0,low,No action needed
1,82,1,0,0.21,0,300.3,109,69.1,9.05,11.7,0.9379047619047617,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities
1,144,1,0,0.21,4,61.6,117,20.1,3.86,8.2,0.9915714285714284,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support
0,46,1,0,0.26,2,214.1,72,53.6,8.22,8.2,0.008354563939171934,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,70,1,0,0.3,1,170.2,98,46.0,7.76,15.0,0.007967850378050933,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,144,1,0,0.0,1,201.1,99,60.0,15.18,13.2,0.018531855191093953,0,low,No action needed
0,116,0,0,0.3,3,215.4,104,58.0,10.24,12.6,0.11961952810102709,0,low,No action needed
0,55,1,1,2.97,3,165.6,123,69.7,6.81,11.0,0.013618819626983929,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
0,70,1,1,2.65,1,249.5,101,91.5,12.99,9.8,0.022939665615426586,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
1,106,1,0,0.0,2,210.6,96,57.0,12.46,12.4,0.03271069079126151,0,low,No action needed
0,128,1,1,2.32,0,179.3,104,73.2,11.3,8.6,0.013787026773329747,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
1,94,1,0,0.0,4,157.9,105,41.0,7.75,8.0,0.953039336430754,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support
0,111,1,0,0.0,1,214.3,118,55.0,10.43,12.0,0.025252362901665323,0,low,No action needed
0,74,1,1,2.94,2,154.1,104,66.4,6.17,10.9,0.010292953338892233,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
1,128,1,0,0.0,1,237.9,125,62.0,12.38,13.9,0.6158778321400237,1,high,No action needed
0,82,1,0,0.17,1,143.9,61,43.7,9.75,11.1,0.02408170142487993,0,low,No action needed
1,155,1,0,0.0,0,203.4,100,51.0,9.55,8.9,0.07852738673002013,0,low,No action needed
0,80,1,0,0.0,1,124.3,100,36.0,8.65,7.9,0.056178820765316384,0,low,No action needed
0,78,1,0,0.0,3,252.9,93,59.0,8.92,9.5,0.03144266504733658,0,low,No action needed
0,90,1,0,0.0,3,179.1,71,47.0,9.53,10.6,0.011803206096726004,0,low,No action needed
0,104,1,0,0.3,1,278.4,106,58.0,4.05,9.8,0.07536479623679533,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,73,1,0,0.0,0,160.1,110,46.0,10.67,13.0,0.020980359557445604,0,low,No action needed
0,99,1,0,0.0,4,198.2,87,52.0,10.37,8.7,0.019747476552665906,0,low,No action needed
1,120,1,0,0.0,1,212.1,131,54.0,10.47,5.3,0.02196481255176098,0,low,No action needed
1,77,1,0,0.0,2,251.8,72,61.0,10.29,9.8,0.4175925765166386,0,medium,No action needed
0,98,1,1,1.19,4,161.2,114,60.9,12.61,4.4,0.1734153578884039,0,low,No action needed
0,108,1,0,0.34,0,178.3,137,50.4,9.45,14.6,0.023463007769364594,0,low,No action needed
0,135,1,0,0.0,0,151.7,82,36.0,5.95,10.5,0.01555185367762841,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,95,1,0,0.0,1,135.0,99,39.0,9.18,12.5,0.020364373654793613,0,low,No action needed
0,122,1,0,0.39,1,170.5,94,47.9,8.69,11.3,0.007184337424423599,0,low,No action needed
0,95,1,0,0.0,4,238.1,65,57.0,9.36,11.8,0.052818949069695156,0,low,No action needed
0,36,1,1,2.43,2,281.4,102,90.3,10.11,9.0,0.02102105930795105,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,93,1,1,2.65,1,117.9,131,61.5,8.23,9.8,0.0818994589816408,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,141,1,1,2.73,1,148.6,91,64.3,6.56,10.1,0.01453837052464043,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,157,1,0,0.0,3,229.8,90,52.0,7.4,9.6,0.018474451145117442,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,120,1,0,0.0,1,165.0,100,56.0,15.86,8.3,0.05418472066921906,0,low,No action needed
0,103,1,0,0.0,2,185.0,117,51.0,11.17,12.6,0.015681238091043694,0,low,No action needed
0,98,1,0,0.0,4,161.0,117,44.0,9.55,12.1,0.882786080570205,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach
0,125,1,0,0.0,1,126.7,108,40.0,10.3,13.3,0.024225144087668838,0,low,No action needed
0,63,1,0,0.0,1,58.9,125,25.0,8.48,9.4,0.015911528554469364,0,low,No action needed
1,36,0,1,5.4,0,196.8,89,110.0,12.75,20.0,0.9404999999999998,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities
0,64,1,0,0.29,1,162.6,83,43.9,7.62,14.2,0.01803004491726412,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
1,74,1,0,0.21,1,282.5,114,69.1,11.0,9.4,0.9642499999999998,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities
0,112,1,1,2.7,2,113.7,117,60.0,7.88,10.0,0.0538873350012922,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,97,1,0,0.0,2,239.8,125,60.0,10.74,8.7,0.06316484193595798,0,low,No action needed
0,46,1,0,0.21,1,210.2,92,58.1,11.37,13.1,0.014625785790836702,0,low,No action needed
0,41,1,1,1.94,0,213.8,102,68.4,7.09,7.2,0.018224736210582345,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
0,121,1,0,0.0,3,190.7,103,49.0,9.18,9.8,0.012280806697075137,0,low,No action needed
0,193,1,0,0.0,1,170.9,124,41.0,6.62,11.6,0.011097067213960315,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,130,1,0,0.0,2,154.2,119,36.0,5.51,9.2,0.0242105164677535,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,85,1,0,0.4,1,201.4,52,58.0,11.47,12.0,0.02349098087671012,0,low,No action needed
1,162,1,0,0.0,4,70.7,108,26.0,7.88,9.1,0.9668780903665813,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support
1,61,1,1,1.73,4,187.5,124,62.3,7.33,6.4,0.3299279944969475,0,medium,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,92,1,0,0.0,2,91.7,90,33.0,9.69,9.2,0.022812529984968254,0,low,No action needed
0,131,1,1,2.57,3,214.2,115,76.7,8.09,9.5,0.01203241554222061,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
0,90,1,0,0.0,3,145.5,92,44.0,10.89,10.9,0.015062649608953342,0,low,No action needed
0,75,1,0,0.0,1,166.3,125,42.0,7.91,6.1,0.012989324156253432,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,78,1,0,0.0,1,231.0,115,59.0,11.52,9.5,0.026888972258491396,0,low,No action needed
0,82,1,0,0.0,4,200.3,96,52.0,10.06,7.1,0.03328914321933257,0,low,No action needed
0,163,1,0,0.0,1,197.0,109,51.0,10.13,9.1,0.02168344169205393,0,low,No action needed
0,91,0,0,0.31,3,129.9,112,40.1,8.67,11.2,0.28475860783350043,0,medium,No action needed
0,75,1,1,1.43,5,175.8,97,63.3,10.88,5.3,0.15602384397476618,0,low,No action needed
0,91,1,0,0.0,3,203.1,106,53.0,10.51,12.0,0.020607375545114683,0,low,No action needed
0,127,1,1,3.02,1,183.2,117,72.2,6.34,11.2,0.01201621645468781,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
0,113,1,1,2.75,2,205.0,101,75.5,7.6,10.2,0.011805960465086968,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
0,110,1,0,0.0,1,148.5,115,49.0,13.82,12.4,0.027138870073988974,0,low,No action needed
0,120,1,1,2.84,0,200.3,68,81.4,11.02,10.5,0.012814941332531901,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,157,1,1,1.84,3,192.6,107,68.4,9.78,6.8,0.011249328814071797,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,103,1,0,0.0,1,246.5,47,59.0,9.78,11.7,0.2185131876745823,0,low,No action needed
1,117,0,0,0.0,2,167.1,86,44.0,8.88,14.1,0.9288811860196314,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach
0,140,1,0,0.0,3,231.9,101,54.0,8.01,14.3,0.024099098444042746,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,127,1,0,0.0,1,146.7,91,43.0,10.18,13.7,0.019463980635709092,0,low,No action needed
0,83,0,0,0.26,1,271.5,87,67.6,10.82,11.7,0.37362383407491023,0,medium,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,121,1,0,0.0,1,181.5,121,50.0,10.92,8.5,0.018832988006729456,0,low,No action needed
0,145,1,1,3.0,2,257.7,97,88.0,8.11,11.1,0.007243294398030869,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
0,113,1,0,0.0,1,193.8,99,52.0,11.07,10.6,0.017329043728967288,0,low,No action needed
0,117,1,0,0.0,1,102.8,119,36.0,10.34,10.1,0.04518362489141639,0,low,No action needed
0,65,1,0,0.0,1,187.9,116,46.0,7.88,7.5,0.010267434744400545,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,56,1,0,0.0,1,226.0,112,60.0,12.43,6.9,0.14334402209254074,0,low,No action needed
0,96,1,0,0.0,5,260.4,115,57.0,7.3,11.5,0.0863916216402191,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,151,1,0,0.0,0,178.7,116,56.0,14.61,9.8,0.022076672471313584,0,low,No action needed
1,83,1,0,0.0,0,337.4,120,77.0,11.37,15.8,0.9771666666666665,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities
0,139,1,1,3.7,0,157.6,129,85.0,12.35,13.7,0.047438860697141406,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,6,1,0,0.0,1,183.6,117,54.0,12.84,10.2,0.025382135515655057,0,low,No action needed
0,115,1,1,2.59,1,142.1,124,65.9,9.17,9.6,0.03303615386442441,0,low,No action needed
0,87,1,0,0.31,0,136.3,97,41.1,8.61,7.1,0.01333791944147078,0,low,No action needed
0,141,1,0,0.0,0,217.1,110,58.0,12.08,12.0,0.01754126787876767,0,low,No action needed
0,141,1,1,2.84,3,187.5,99,81.4,12.07,10.5,0.020925240088568477,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,62,1,0,0.0,1,98.9,103,29.0,6.77,12.2,0.017297397230133165,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,146,1,0,0.0,1,206.3,151,48.0,7.43,6.1,0.030887297697551656,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,92,1,1,3.27,2,243.1,92,92.7,10.69,12.1,0.013442681504024914,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,185,1,1,2.03,1,189.8,126,67.3,8.17,7.5,0.06171889503388286,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
0,148,1,0,0.39,1,202.0,102,59.9,12.16,10.9,0.013398343453516743,0,low,No action needed
0,94,1,1,3.46,1,170.1,124,80.6,9.67,12.8,0.029905510121464376,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,32,1,0,0.0,0,230.9,87,56.0,9.37,6.3,0.0672988671728046,0,low,No action needed
0,68,1,0,0.0,1,237.1,105,60.0,11.18,13.2,0.042811115453716055,0,low,No action needed
0,64,1,1,2.86,2,182.1,91,74.6,8.49,10.6,0.022536260164946312,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,25,1,0,0.14,3,119.3,87,40.4,10.58,10.5,0.013850284938436213,0,low,No action needed
0,65,1,0,0.0,1,116.8,87,36.0,8.95,14.1,0.05923747135326339,0,low,No action needed
0,179,1,0,0.0,0,219.2,92,50.0,7.47,6.1,0.009794680216988894,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,94,1,0,0.0,2,252.6,104,58.0,8.45,11.1,0.03202140811494593,0,low,No action needed
0,62,1,0,0.0,0,147.1,91,42.0,9.52,12.2,0.02094981353748428,0,low,No action needed
0,127,1,0,0.0,2,202.1,103,54.0,11.47,11.5,0.018888759241812346,0,low,No action needed
0,116,1,0,0.23,3,173.5,93,48.3,9.71,16.2,0.012866940882278076,0,low,No action needed
0,70,1,0,0.0,3,232.1,122,65.0,14.62,0.0,0.4237236773747209,0,medium,No action needed
0,94,0,1,2.57,4,197.1,125,77.7,10.73,9.5,0.14158649418716743,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
1,126,1,0,0.0,5,58.2,94,22.0,6.94,11.9,0.9685714285714286,1,critical,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [HIGH] Assign dedicated onboarding support
0,67,1,1,2.67,2,115.6,111,66.7,11.89,9.9,0.014520166319116656,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,19,1,0,0.14,2,186.1,98,55.4,12.72,14.6,0.015509968205039021,0,low,No action needed
0,170,0,0,0.0,3,259.9,68,66.0,12.25,8.4,0.5396125948463468,1,high,No action needed
0,73,1,0,0.0,1,214.3,145,60.0,13.43,10.8,0.07312754436977156,0,low,No action needed
0,106,1,0,0.0,1,158.7,74,33.0,3.22,10.2,0.015070110114872543,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,93,1,0,0.19,2,271.6,71,67.9,11.47,10.9,0.5971243796752418,1,high,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,164,1,0,0.27,1,160.6,111,44.7,8.16,9.0,0.010352388914320044,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,51,1,0,0.0,1,232.4,109,56.0,9.37,9.1,0.019823943838175612,0,low,No action needed
0,107,1,0,0.0,0,133.8,85,39.0,9.03,8.9,0.024550264778741338,0,low,No action needed
0,130,1,0,0.35,1,176.9,109,41.5,4.54,9.5,0.010723103739234607,0,low,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,80,1,0,0.0,2,209.9,74,53.0,9.76,8.8,0.014031788284622943,0,low,No action needed
0,94,1,0,0.22,0,137.5,118,43.2,10.16,13.4,0.0189305329797501,0,low,No action needed
0,118,1,1,2.57,1,289.5,52,89.7,8.33,9.5,0.01036532960103356,0,low,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
